seam_id,x,y,score,selected
0,196,272,0.82718,0
0,197,287,0.82718,0
0,198,278,0.82718,0
0,199,242,0.82718,0
0,200,257,0.82718,0
0,201,259,0.82718,0
0,202,234,0.82718,0
0,203,289,0.82718,0
0,204,260,0.82718,0
0,205,260,0.82718,0
0,206,283,0.82718,0
0,207,233,0.82718,0
0,208,301,0.82718,0
0,209,296,0.82718,0
0,210,271,0.82718,0
0,211,271,0.82718,0
0,212,307,0.82718,0
0,213,271,0.82718,0
0,214,289,0.82718,0
0,215,290,0.82718,0
0,216,291,0.82718,0
0,217,253,0.82718,0
0,218,252,0.82718,0
0,219,221,0.82718,0
0,220,272,0.82718,0
0,221,271,0.82718,0
0,222,235,0.82718,0
0,223,163,0.82718,0
0,224,161,0.82718,0
0,225,158,0.82718,0
0,226,155,0.82718,0
0,227,152,0.82718,0
0,228,149,0.82718,0
0,229,147,0.82718,0
0,230,145,0.82718,0
0,231,142,0.82718,0
0,232,139,0.82718,0
0,233,137,0.82718,0
0,234,135,0.82718,0
0,235,132,0.82718,0
0,236,129,0.82718,0
0,237,127,0.82718,0
0,238,124,0.82718,0
0,239,122,0.82718,0
0,240,119,0.82718,0
0,241,116,0.82718,0
0,242,113,0.82718,0
0,243,111,0.82718,0
0,244,108,0.82718,0
0,245,105,0.82718,0
0,246,103,0.82718,0
0,247,100,0.82718,0
0,248,97,0.82718,0
0,249,95,0.82718,0
0,250,93,0.82718,0
0,251,91,0.82718,0
0,252,89,0.82718,0
0,253,87,0.82718,0
0,254,85,0.82718,0
0,255,83,0.82718,0
0,256,81,0.82718,0
0,257,79,0.82718,0
0,258,77,0.82718,0
0,259,75,0.82718,0
0,260,74,0.82718,0
0,261,73,0.82718,0
0,262,71,0.82718,0
0,263,70,0.82718,0
0,264,68,0.82718,0
0,265,67,0.82718,0
0,266,66,0.82718,0
0,267,64,0.82718,0
0,268,63,0.82718,0
0,269,62,0.82718,0
0,270,61,0.82718,0
0,271,60,0.82718,0
0,272,59,0.82718,0
0,273,58,0.82718,0
0,274,57,0.82718,0
0,275,56,0.82718,0
0,276,55,0.82718,0
0,277,55,0.82718,0
0,278,54,0.82718,0
0,279,53,0.82718,0
0,280,52,0.82718,0
0,281,51,0.82718,0
0,282,50,0.82718,0
0,283,49,0.82718,0
0,284,48,0.82718,0
0,285,48,0.82718,0
0,286,47,0.82718,0
0,287,46,0.82718,0
0,288,45,0.82718,0
0,289,45,0.82718,0
1,357,413,0.489758,0
1,358,411,0.489758,0
1,359,216,0.489758,0
1,360,217,0.489758,0
1,361,259,0.489758,0
1,362,214,0.489758,0
1,363,262,0.489758,0
1,364,250,0.489758,0
1,365,273,0.489758,0
1,366,231,0.489758,0
1,367,256,0.489758,0
1,368,234,0.489758,0
1,369,217,0.489758,0
1,370,203,0.489758,0
1,371,210,0.489758,0
1,372,295,0.489758,0
1,373,257,0.489758,0
1,374,125,0.489758,0
1,375,221,0.489758,0
1,376,368,0.489758,0
1,377,369,0.489758,0
1,378,370,0.489758,0
1,379,371,0.489758,0
1,380,373,0.489758,0
