laser_id,x_pixel,y_pixel,distance_cm
1,145,198,3.34201
1,146,199,3.327
1,147,200,3.31047
1,148,201,3.29246
1,149,203,3.27298
1,150,206,3.25502
1,151,208,3.23707
1,152,208,3.21917
1,153,209,3.20279
1,154,210,3.18646
1,155,210,3.17313
1,156,210,3.16429
1,157,211,3.15696
1,158,211,3.14962
1,159,212,3.14376
1,160,212,3.13792
1,161,212,3.13207
1,162,213,3.12623
1,163,213,3.12186
1,164,213,3.11603
1,165,214,3.11022
1,166,214,3.10441
1,167,214,3.09716
1,168,214,3.08993
1,169,215,3.0827
1,170,216,3.07404
1,171,216,3.06683
1,172,217,3.05962
1,173,218,3.05241
1,174,218,3.0452
1,175,219,3.03944
1,176,219,3.03369
1,177,219,3.02795
1,178,219,3.02365
1,179,219,3.02078
1,180,219,3.01649
1,181,220,3.01364
1,182,220,3.01078
1,183,220,3.00651
1,184,220,3.00223
1,185,221,2.99795
1,186,221,2.99225
1,187,221,2.98799
1,188,222,2.98372
1,189,222,2.97946
1,190,222,2.97378
1,191,223,2.96952
1,192,223,2.96527
1,193,223,2.9596
1,194,223,2.95536
1,195,224,2.95112
1,196,224,2.94688
1,197,224,2.94405
1,198,225,2.94123
1,199,225,2.9384
1,200,225,2.93558
1,201,225,2.93417
1,202,225,2.93276
1,203,225,2.92994
1,204,225,2.92853
1,205,225,2.92713
1,206,225,2.92432
1,207,225,2.92151
1,208,226,2.9173
1,209,226,2.91309
1,210,226,2.90888
1,211,227,2.90328
1,212,227,2.89768
1,213,228,2.89207
1,214,228,2.88788
1,215,228,2.88368
1,216,229,2.87948
1,217,229,2.87669
1,218,229,2.87389
1,219,229,2.8725
1,220,229,2.8711
1,221,229,2.86971
1,222,229,2.86971
1,223,229,2.86832
1,224,229,2.86693
1,225,229,2.86553
1,226,229,2.86275
1,227,229,2.85997
1,228,230,2.8572
1,229,230,2.85303
1,230,230,2.84887
1,231,231,2.8447
1,232,231,2.84054
1,233,231,2.83638
1,234,232,2.83222
1,235,232,2.82807
1,236,232,2.82392
1,237,232,2.82115
1,238,232,2.81839
1,239,233,2.81562
1,240,233,2.81424
1,241,233,2.81286
1,242,233,2.81148
1,243,233,2.8101
1,244,233,2.80872
1,245,233,2.80872
1,246,233,2.80872
1,247,233,2.80872
1,248,233,2.8101
1,249,233,2.81148
1,250,233,2.81286
1,251,233,2.81424
1,252,233,2.81562
1,253,232,2.817
1,254,232,2.81838
1,255,232,2.81976
1,256,232,2.82115
1,257,232,2.82253
1,258,232,2.82391
1,259,232,2.82391
1,260,232,2.82391
1,261,232,2.82391
1,262,232,2.82391
1,263,232,2.82391
1,264,232,2.82253
1,265,232,2.82115
1,266,232,2.81976
1,267,232,2.81838
1,268,232,2.817
1,269,233,2.81562
1,270,233,2.81424
1,271,233,2.81148
1,272,233,2.80873
1,273,233,2.80597
1,274,233,2.80321
1,275,233,2.80183
1,276,234,2.80046
1,277,234,2.79908
1,278,234,2.79633
1,279,234,2.79495
1,280,234,2.79357
1,281,234,2.7922
1,282,234,2.7922
1,283,235,2.7922
1,284,234,2.79357
1,285,234,2.79495
1,286,234,2.79633
1,287,234,2.79909
1,288,234,2.80184
1,289,233,2.80736
1,290,233,2.8115
1,291,233,2.81564
1,292,232,2.82117
1,293,232,2.8267
1,294,231,2.83223
1,295,231,2.83778
1,296,231,2.84332
1,297,230,2.84748
1,298,230,2.85025
1,299,230,2.85163
1,300,229,2.85163
1,301,229,2.85025
1,302,230,2.84886
1,303,230,2.84471
1,304,231,2.84056
1,305,231,2.83641
1,306,232,2.82948
1,307,232,2.82256
1,308,233,2.81703
1,309,233,2.81013
1,310,233,2.80461
1,311,234,2.7991
1,312,234,2.79497
1,313,234,2.78946
1,314,235,2.78534
1,315,235,2.78122
1,316,235,2.7771
1,317,235,2.77436
1,318,236,2.77025
1,319,236,2.76614
1,320,236,2.7634
1,321,236,2.76066
1,322,236,2.75656
1,323,237,2.75246
1,324,237,2.74973
1,325,237,2.74565
1,326,237,2.74156
1,327,238,2.73747
1,328,238,2.73338
1,329,238,2.73065
1,330,239,2.72793
1,331,239,2.72521
1,332,239,2.72113
1,333,239,2.71841
1,334,239,2.7157
1,335,239,2.71298
1,336,239,2.71163
1,337,240,2.71027
1,338,240,2.70891
1,339,240,2.70756
1,340,240,2.7062
1,341,240,2.70484
1,342,240,2.70484
1,343,240,2.7062
1,344,240,2.70756
1,345,240,2.70891
1,346,240,2.71027
1,347,239,2.71163
1,348,239,2.71298
1,349,239,2.71434
1,350,239,2.71569
1,351,239,2.71705
1,352,239,2.71705
1,353,239,2.71569
1,354,239,2.71434
1,355,239,2.71298
1,356,239,2.71027
1,357,240,2.70756
1,358,240,2.70485
1,359,240,2.7008
1,360,240,2.69674
1,361,241,2.69268
1,362,241,2.68862
1,363,241,2.68592
1,364,242,2.68322
1,365,242,2.68051
1,366,242,2.67781
1,367,242,2.67646
1,368,242,2.67511
1,369,242,2.67376
1,370,242,2.67376
1,371,242,2.67376
1,372,242,2.67376
1,373,242,2.67376
1,374,242,2.67376
1,375,242,2.67376
1,376,242,2.67376
1,377,242,2.67376
1,378,242,2.67376
1,379,242,2.67376
1,380,242,2.67511
1,381,242,2.67646
1,382,242,2.67781
1,383,242,2.67916
1,384,242,2.68051
1,385,241,2.68186
1,386,241,2.68321
1,387,241,2.68456
1,388,241,2.68591
1,389,241,2.68726
1,390,241,2.68861
1,391,241,2.68996
1,392,241,2.69131
1,393,241,2.69267
1,394,241,2.69402
1,395,241,2.69537
1,396,240,2.69672
1,397,240,2.69808
1,398,240,2.69943
1,399,240,2.69943
1,400,240,2.69943
1,401,240,2.69943
1,402,240,2.69808
1,403,240,2.69672
1,404,241,2.69537
1,405,241,2.69402
1,406,241,2.69267
1,407,241,2.69267
1,408,241,2.69267
1,409,241,2.69402
1,410,241,2.69673
1,411,241,2.7008
1,412,240,2.70487
1,413,240,2.70894
1,414,239,2.71301
1,415,239,2.71707
1,416,238,2.72114
1,417,238,2.72521
1,418,238,2.72793
1,419,238,2.73064
1,420,238,2.732
1,421,238,2.73336
1,422,238,2.73336
1,423,238,2.73336
1,424,238,2.73336
1,425,238,2.73336
1,426,238,2.73473
1,427,238,2.73609
1,428,238,2.73745
1,429,238,2.73882
1,430,238,2.74018
1,431,237,2.74154
1,432,237,2.74291
1,433,237,2.74291
1,434,237,2.74291
1,435,237,2.74291
1,436,237,2.74291
1,437,237,2.74154
1,438,238,2.74154
1,439,238,2.74154
1,440,238,2.74291
1,441,238,2.74428
1,442,238,2.74564
1,443,237,2.74838
1,444,237,2.75248
1,445,236,2.75658
1,446,236,2.76068
1,447,236,2.76478
1,448,235,2.76888
1,449,235,2.77161
1,450,235,2.77435
1,451,235,2.77572
1,452,235,2.77846
1,453,235,2.78121
1,454,235,2.78258
1,455,235,2.78396
1,456,235,2.78533
1,457,234,2.78808
1,458,234,2.79083
1,459,234,2.79358
1,460,234,2.79633
1,461,234,2.80046
1,462,233,2.80459
1,463,233,2.80735
1,464,233,2.81011
1,465,233,2.81425
1,466,232,2.81839
1,467,232,2.82254
1,468,232,2.82669
1,469,232,2.83084
1,470,231,2.835
1,471,231,2.84054
1,472,231,2.8461
1,473,230,2.85166
1,474,230,2.85862
1,475,230,2.86557
1,476,229,2.87255
1,477,228,2.87953
1,478,228,2.88791
1,479,227,2.89491
1,480,227,2.9019
1,481,226,2.91031
1,482,226,2.91732
1,483,225,2.92435
1,484,225,2.93139
1,485,225,2.93844
1,486,224,2.94549
1,487,224,2.95256
1,488,223,2.95963
1,489,223,2.96672
1,490,222,2.97524
1,491,222,2.9852
1,492,221,2.99518
1,493,221,3.0066
1,494,220,3.01806
1,495,219,3.02951
1,496,218,3.03955
1,497,217,3.05104
1,498,216,3.0611
1,499,215,3.07117
1,500,215,3.07981
1,501,215,3.08702
1,502,214,3.09425
1,503,214,3.10004
1,504,214,3.10439
1,505,214,3.10875
1,506,214,3.11312
1,507,213,3.11748
1,508,213,3.12039
1,509,213,3.12331
1,510,212,3.12622
1,511,212,3.12913
1,512,212,3.13204
1,513,212,3.1335
1,514,212,3.13496
1,515,212,3.13642
1,516,212,3.13642
1,517,212,3.13642
1,518,212,3.13642
1,519,212,3.13496
1,520,212,3.1335
1,521,212,3.13204
1,522,212,3.13059
1,523,212,3.12913
1,524,213,3.12767
1,525,213,3.12621
1,526,213,3.12475
1,527,213,3.12329
1,528,213,3.12183
1,529,213,3.12038
1,530,213,3.12038
1,531,213,3.12183
1,532,213,3.12329
1,533,213,3.12621
1,534,213,3.12914
1,535,213,3.13206
1,536,212,3.13645
1,537,212,3.14083
1,538,211,3.14522
1,539,211,3.14961
1,540,211,3.154
1,541,210,3.15986
1,542,210,3.16426
1,543,210,3.16866
1,544,210,3.1716
1,545,210,3.17454
1,546,209,3.17895
1,547,209,3.1819
1,548,209,3.18485
1,549,209,3.18779
1,550,209,3.19074
1,551,208,3.19369
1,552,208,3.19517
1,553,208,3.19664
1,554,208,3.1996
1,555,208,3.20255
1,556,208,3.20699
1,557,208,3.21145
1,558,208,3.2159
1,559,207,3.22185
1,560,207,3.2278
1,561,206,3.23524
1,562,205,3.24269
1,563,205,3.25013
1,564,204,3.25908
1,565,204,3.26655
1,566,203,3.27553
1,567,203,3.28453
1,568,203,3.29356
1,569,202,3.30411
1,570,202,3.3147
1,571,201,3.32681
1,572,200,3.33897
1,573,199,3.35267
1,574,198,3.36636
1,575,197,3.3801
1,576,196,3.39384
1,577,195,3.40607
1,578,194,3.41525
1,579,194,3.41983
1,580,193,3.39309
1,581,193,3.36483
1,582,193,3.33354
1,583,194,3.29921
1,584,196,3.26185
2,153,297,3.223
2,154,297,3.18111
2,155,298,3.13922
2,156,299,3.09585
2,157,300,3.05403
2,158,301,3.0138
2,159,302,3.00188
2,160,302,2.98849
2,161,303,2.97661
2,162,303,2.96475
2,163,304,2.95292
2,164,305,2.94257
2,165,306,2.93226
2,166,306,2.92194
2,167,307,2.91311
2,168,308,2.90427
2,169,308,2.89546
2,170,309,2.88812
2,171,309,2.86926
2,172,309,2.84897
2,173,309,2.82872
2,174,310,2.80852
2,175,310,2.78832
2,176,319,2.76958
2,177,320,2.75084
2,178,321,2.73069
2,179,322,2.71053
2,180,322,2.69183
2,181,322,2.67313
2,182,322,2.66744
2,183,323,2.66317
2,184,323,2.66033
2,185,323,2.65891
2,186,323,2.66605
2,187,323,2.67319
2,188,323,2.68034
2,189,323,2.6889
2,190,323,2.69747
2,191,317,2.70459
2,192,317,2.71172
2,193,317,2.71885
2,194,317,2.72598
2,195,317,2.73311
2,196,318,2.74024
2,197,318,2.73737
2,198,318,2.7345
2,199,318,2.73021
2,200,318,2.72591
2,201,318,2.72162
2,202,319,2.71733
2,203,319,2.71304
2,204,320,2.70876
2,205,320,2.70447
2,206,320,2.70019
2,207,321,2.6959
2,208,321,2.69162
2,209,321,2.68734
2,210,321,2.6845
2,211,321,2.68165
2,212,321,2.6788
2,213,322,2.67738
2,214,322,2.67595
2,215,322,2.67453
2,216,322,2.67311
2,217,322,2.67169
2,218,322,2.67026
2,219,322,2.67026
