filename,TopY,BottomY
/home/dw/robot/image/calib_camera1_laser/100.jpg,124.956,179.382
/home/dw/robot/image/calib_camera1_laser/101.jpg,122.823,176.976
/home/dw/robot/image/calib_camera1_laser/102.jpg,120.875,174.705
/home/dw/robot/image/calib_camera1_laser/103.jpg,118.822,172.448
/home/dw/robot/image/calib_camera1_laser/104.jpg,116.921,170.301
/home/dw/robot/image/calib_camera1_laser/105.jpg,114.992,168.193
/home/dw/robot/image/calib_camera1_laser/106.jpg,113.128,165.946
/home/dw/robot/image/calib_camera1_laser/107.jpg,111.263,163.954
/home/dw/robot/image/calib_camera1_laser/108.jpg,109.46,161.888
/home/dw/robot/image/calib_camera1_laser/109.jpg,107.58,159.545
/home/dw/robot/image/calib_camera1_laser/110.jpg,105.804,157.657
/home/dw/robot/image/calib_camera1_laser/111.jpg,104.007,155.654
/home/dw/robot/image/calib_camera1_laser/112.jpg,102.496,153.771
/home/dw/robot/image/calib_camera1_laser/113.jpg,100.69,152.073
/home/dw/robot/image/calib_camera1_laser/114.jpg,99.0204,149.84
/home/dw/robot/image/calib_camera1_laser/115.jpg,97.3686,148.21
/home/dw/robot/image/calib_camera1_laser/116.jpg,95.5687,146.135
/home/dw/robot/image/calib_camera1_laser/117.jpg,94.1799,144.479
/home/dw/robot/image/calib_camera1_laser/118.jpg,92.602,142.628
/home/dw/robot/image/calib_camera1_laser/119.jpg,91.1251,140.918
/home/dw/robot/image/calib_camera1_laser/120.jpg,89.4454,138.963
/home/dw/robot/image/calib_camera1_laser/121.jpg,87.8014,137.236
/home/dw/robot/image/calib_camera1_laser/122.jpg,86.2927,135.358
/home/dw/robot/image/calib_camera1_laser/123.jpg,84.8458,133.837
/home/dw/robot/image/calib_camera1_laser/124.jpg,83.5107,132.22
/home/dw/robot/image/calib_camera1_laser/125.jpg,81.9456,130.465
/home/dw/robot/image/calib_camera1_laser/126.jpg,80.8256,129.108
/home/dw/robot/image/calib_camera1_laser/127.jpg,79.3892,127.469
/home/dw/robot/image/calib_camera1_laser/128.jpg,77.9949,126.073
/home/dw/robot/image/calib_camera1_laser/129.jpg,76.6936,124.308
/home/dw/robot/image/calib_camera1_laser/130.jpg,75.5406,122.946
/home/dw/robot/image/calib_camera1_laser/131.jpg,73.906,121.211
/home/dw/robot/image/calib_camera1_laser/132.jpg,72.7898,119.879
/home/dw/robot/image/calib_camera1_laser/133.jpg,71.4245,118.305
/home/dw/robot/image/calib_camera1_laser/134.jpg,70.0182,116.76
/home/dw/robot/image/calib_camera1_laser/135.jpg,68.9516,115.365
/home/dw/robot/image/calib_camera1_laser/136.jpg,67.7246,113.883
/home/dw/robot/image/calib_camera1_laser/137.jpg,66.5424,112.576
/home/dw/robot/image/calib_camera1_laser/138.jpg,65.3923,111.245
/home/dw/robot/image/calib_camera1_laser/139.jpg,64.0941,109.882
/home/dw/robot/image/calib_camera1_laser/140.jpg,62.8893,108.453
/home/dw/robot/image/calib_camera1_laser/141.jpg,61.9621,107.192
