laser_id,x_pixel,y_pixel,distance_cm,baseline_distance,seam_signal
1,77,270,55.6996,51.5796,4.1199
1,78,271,55.6501,51.5680,4.0820
1,79,271,55.5895,51.5565,4.0330
1,80,271,55.5424,51.5488,3.9936
1,81,272,55.5047,51.5487,3.9560
1,82,272,55.4569,51.5487,3.9082
1,83,273,55.3712,51.5334,3.8378
1,84,274,55.2859,51.5180,3.7679
1,85,274,55.2006,51.5177,3.6829
1,86,274,55.0985,51.5177,3.5809
1,87,275,55.0137,51.5099,3.5037
1,88,275,54.9288,51.5022,3.4266
1,89,276,54.8444,51.5022,3.3422
1,90,276,54.7770,51.5022,3.2748
1,91,277,54.7096,51.5022,3.2074
1,92,277,54.6255,51.5022,3.1233
1,93,277,54.5419,51.5022,3.0397
1,94,278,54.4418,51.4906,2.9512
1,95,278,54.3422,51.4718,2.8703
1,96,278,54.2425,51.4341,2.8084
1,97,279,54.1433,51.3656,2.7778
1,98,280,54.0442,51.2630,2.7812
1,99,281,53.9450,51.1383,2.8068
1,100,282,53.8463,50.9951,2.8512
1,101,282,53.7476,50.8372,2.9104
1,102,283,53.6328,50.6794,2.9533
1,103,283,53.5184,50.5065,3.0119
1,104,283,53.4207,50.3225,3.0981
1,105,284,53.3233,50.1313,3.1921
1,106,284,53.2424,49.9516,3.2908
1,107,285,53.1615,49.7802,3.3813
1,108,286,53.0970,49.6167,3.4802
1,109,286,53.0164,49.4609,3.5555
1,110,287,52.9359,49.3172,3.6188
1,111,287,52.8716,49.1885,3.6832
1,112,287,52.8074,49.0748,3.7325
1,113,287,52.7593,48.9762,3.7831
1,114,288,52.7114,48.9000,3.8114
1,115,288,52.6635,48.8386,3.8250
1,116,288,52.6317,48.7809,3.8508
1,117,288,52.5841,48.7160,3.8680
1,118,288,52.5364,48.6621,3.8743
1,119,289,52.4730,48.6083,3.8647
1,120,289,52.4099,48.5546,3.8553
1,121,289,52.3468,48.5009,3.8459
1,122,290,52.2837,48.4475,3.8362
1,123,290,52.2206,48.3940,3.8266
1,124,291,52.1575,48.3441,3.8134
1,125,292,52.1103,48.3014,3.8089
1,126,292,52.0631,48.2481,3.8149
1,127,292,52.0002,48.1949,3.8054
1,128,292,51.9532,48.1452,3.8081
1,129,292,51.8907,48.1027,3.7880
1,130,292,51.8439,48.0496,3.7943
1,131,292,51.7973,48.0037,3.7936
1,132,293,51.7662,47.9613,3.8049
1,133,293,51.7351,47.9190,3.8161
1,134,294,51.7039,47.8873,3.8167
1,135,294,51.6728,47.8556,3.8172
1,136,295,51.6262,47.8239,3.8023
1,137,294,51.5796,47.7923,3.7873
1,138,294,51.5486,47.7608,3.7879
1,139,294,51.5177,47.7292,3.7885
1,140,294,51.5022,47.6976,3.8045
1,141,295,51.4867,47.6662,3.8205
1,142,295,51.5022,47.6347,3.8674
1,143,295,51.5022,47.6033,3.8989
1,144,295,51.5022,47.5719,3.9303
1,145,295,51.5022,47.5406,3.9616
1,146,295,51.5177,47.5092,4.0085
1,147,294,51.5487,47.4779,4.0708
1,148,294,51.5642,47.4466,4.1176
1,149,294,51.5488,47.4153,4.1335
1,150,294,51.5181,47.3839,4.1341
1,151,293,51.4569,47.3527,4.1042
1,152,293,51.3656,47.3215,4.0441
1,153,294,51.2288,47.2903,3.9385
1,154,296,51.0477,47.2591,3.7886
