laser_id,x_pixel,y_pixel,distance_cm,baseline_distance,seam_signal
1,96,254,59.0355,51.9332,7.1023
1,97,254,58.9864,51.7455,7.2409
1,98,254,58.9240,51.5584,7.3656
1,99,254,58.8529,51.3758,7.4770
1,100,255,58.7757,51.2018,7.5738
1,101,255,58.7125,51.0398,7.6727
1,102,256,58.6012,50.8862,7.7150
1,103,257,58.4716,50.7446,7.7270
1,104,258,58.3239,50.6187,7.7052
1,105,259,58.1582,50.5050,7.6532
1,106,259,58.0113,50.4067,7.6046
1,107,260,57.8464,50.3201,7.5263
1,108,261,57.6824,50.2414,7.4411
1,109,262,57.5371,50.1740,7.3630
1,110,263,57.3924,50.1069,7.2855
1,111,263,57.2485,50.0399,7.2087
1,112,264,57.1047,49.9728,7.1319
1,113,265,56.9615,49.9060,7.0555
1,114,265,56.8191,49.8468,6.9723
1,115,266,56.6775,49.7876,6.8898
1,116,267,56.5538,49.7211,6.8327
1,117,267,56.4128,49.6659,6.7470
1,118,268,56.2898,49.6033,6.6865
1,119,269,56.1674,49.5372,6.6302
1,120,270,56.0450,49.4713,6.5738
1,121,270,55.9232,49.4053,6.5179
1,122,271,55.8191,49.3396,6.4795
1,123,271,55.6979,49.2740,6.4240
1,124,272,55.5943,49.2083,6.3860
1,125,272,55.4912,49.1429,6.3483
1,126,273,55.4055,49.0776,6.3280
1,127,273,55.3029,49.0123,6.2907
1,128,274,55.2177,48.9472,6.2705
1,129,274,55.1156,48.8821,6.2335
1,130,275,55.0307,48.8171,6.2136
1,131,275,54.9459,48.7523,6.1936
1,132,276,54.8614,48.6875,6.1740
1,133,276,54.7770,48.6229,6.1541
1,134,277,54.7096,48.5656,6.1440
1,135,277,54.6589,48.5083,6.1506
1,136,277,54.6252,48.4440,6.1812
1,137,278,54.6083,48.3800,6.2284
1,138,278,54.6083,48.3159,6.2924
1,139,278,54.6083,48.2555,6.3529
1,140,277,54.6083,48.2022,6.4061
1,141,277,54.5916,48.1384,6.4532
1,142,276,54.5582,48.0818,6.4765
1,143,276,54.5250,48.0287,6.4963
1,144,276,54.4753,47.9757,6.4996
1,145,277,54.4092,47.9228,6.4864
1,146,278,54.2938,47.8700,6.4238
1,147,279,54.1622,47.8172,6.3450
1,148,280,53.9817,47.7646,6.2171
1,149,281,53.7852,47.7120,6.0732
1,150,282,53.5570,47.6595,5.8975
1,151,284,53.3142,47.6106,5.7036
1,152,285,53.0570,47.5687,5.4882
1,153,287,52.7856,47.5269,5.2587
1,154,288,52.5002,47.4850,5.0151
1,155,290,52.2160,47.4432,4.7728
1,156,292,51.9332,47.4016,4.5317
1,157,294,51.6830,47.3599,4.3231
1,158,296,51.4338,47.3182,4.1156
1,159,298,51.2018,47.2800,3.9219
1,160,299,50.9858,47.2488,3.7370
1,161,300,50.7865,47.2073,3.5793
1,162,300,50.6187,47.1727,3.4460
1,163,301,50.4671,47.1416,3.3255
1,164,302,50.3463,47.1105,3.2358
1,165,302,50.2414,47.0796,3.1618
1,166,303,50.1516,47.0486,3.1030
1,167,303,50.0622,47.0177,3.0445
1,168,304,49.9728,46.9867,2.9861
1,169,304,49.8838,46.9557,2.9280
1,170,305,49.8098,46.9249,2.8849
1,171,305,49.7211,46.8940,2.8271
1,172,306,49.6474,46.8632,2.7842
1,173,306,49.5592,46.8323,2.7268
1,174,307,49.4713,46.8015,2.6698
1,175,307,49.3834,46.7741,2.6093
1,176,308,49.2958,46.7536,2.5422
1,177,308,49.2083,46.7126,2.4957
1,178,309,49.1211,46.6717,2.4495
1,179,310,49.0340,46.6444,2.3896
1,180,310,48.9472,46.6172,2.3300
1,181,311,48.8604,46.5899,2.2704
1,182,311,48.7739,46.5491,2.2248
1,183,312,48.6875,46.5220,2.1655
1,184,312,48.6014,46.4813,2.1200
1,185,313,48.5298,46.4812,2.0486
1,186,313,48.4440,46.4812,1.9629
1,187,314,48.3586,46.4812,1.8775
1,188,314,48.2732,46.4812,1.7921
1,189,315,48.2022,46.4812,1.7210
1,190,315,48.1171,46.4812,1.6360
1,191,316,48.0464,46.4812,1.5653
1,192,317,47.9757,46.4812,1.4945
1,193,317,47.9052,46.4812,1.4241
1,194,317,47.8348,46.4812,1.3536
1,195,318,47.7646,46.4812,1.2834
1,196,318,47.6944,46.4812,1.2133
1,197,318,47.6245,46.4812,1.1434
1,198,319,47.5687,46.4812,1.0876
1,199,319,47.5129,46.4812,1.0318
1,200,320,47.4571,46.4812,0.9760
1,201,320,47.4016,46.4812,0.9204
1,202,321,47.3460,46.4812,0.8648
1,203,321,47.2904,46.4812,0.8092
1,204,321,47.2488,46.4812,0.7676
1,205,321,47.1934,46.4812,0.7123
1,206,322,47.1520,46.4812,0.6708
1,207,322,47.1105,46.4812,0.6294
1,208,322,47.0693,46.4812,0.5881
1,209,322,47.0280,46.4812,0.5468
1,210,323,46.9867,46.4812,0.5055
1,211,323,46.9454,46.4812,0.4643
1,212,323,46.9043,46.4812,0.4232
1,213,324,46.8632,46.4812,0.3820
1,214,324,46.8221,46.4812,0.3409
1,215,324,46.7809,46.4812,0.2998
1,216,324,46.7536,46.4812,0.2724
1,217,325,46.7126,46.4812,0.2315
1,218,325,46.6717,46.4812,0.1905
1,219,325,46.6444,46.4812,0.1633
1,220,325,46.6172,46.4812,0.1360
1,221,325,46.5899,46.4812,0.1088
1,222,326,46.5491,46.4812,0.0680
1,223,326,46.5220,46.4812,0.0408
1,224,326,46.4813,46.4812,0.0002
1,225,326,46.4407,46.4540,-0.0133
1,226,326,46.4000,46.4407,-0.0406
1,227,327,46.3594,46.4405,-0.0811
1,228,327,46.3323,46.4269,-0.0946
1,229,328,46.3053,46.4139,-0.1086
1,230,328,46.2782,46.4134,-0.1351
1,231,328,46.2512,46.4000,-0.1488
1,232,328,46.2241,46.3998,-0.1757
1,233,328,46.2106,46.3863,-0.1756
1,234,328,46.1972,46.3727,-0.1756
1,235,328,46.1972,46.3594,-0.1622
1,236,328,46.1972,46.3592,-0.1620
1,237,328,46.1972,46.3461,-0.1490
1,238,328,46.1972,46.3456,-0.1485
1,239,328,46.1972,46.3456,-0.1485
1,240,328,46.1972,46.3456,-0.1485
1,241,328,46.1972,46.3456,-0.1485
1,242,328,46.2106,46.3456,-0.1350
1,243,328,46.2241,46.3323,-0.1082
1,244,328,46.2376,46.3321,-0.0945
1,245,328,46.2511,46.3186,-0.0675
1,246,328,46.2646,46.3053,-0.0406
1,247,327,46.2781,46.3051,-0.0270
1,248,327,46.2916,46.2920,-0.0004
1,249,327,46.3051,46.2916,0.0135
1,250,327,46.3186,46.2782,0.0404
1,251,327,46.3321,46.2781,0.0540
1,252,327,46.3456,46.2646,0.0810
1,253,327,46.3456,46.2512,0.0944
1,254,327,46.3456,46.2511,0.0945
1,255,327,46.3456,46.2376,0.1080
1,256,327,46.3456,46.2246,0.1211
1,257,327,46.3592,46.2241,0.1350
1,258,327,46.3727,46.2241,0.1486
1,259,327,46.3863,46.2106,0.1756
1,260,327,46.3998,46.2106,0.1892
1,261,327,46.4134,46.1972,0.2162
1,262,326,46.4269,46.1972,0.2298
1,263,326,46.4405,46.1972,0.2433
1,264,326,46.4540,46.1972,0.2569
1,265,326,46.4812,46.1972,0.2840
1,266,326,46.5083,46.1972,0.3112
1,267,326,46.5355,46.1972,0.3383
1,268,326,46.5491,46.1972,0.3519
1,269,326,46.5763,46.1707,0.4056
1,270,325,46.6036,46.1168,0.4868
1,271,325,46.6308,46.0631,0.5677
1,272,325,46.6581,46.0094,0.6486
1,273,325,46.6990,45.9424,0.7566
1,274,324,46.7537,45.8890,0.8648
1,275,324,46.8085,45.8355,0.9730
1,276,324,46.8634,45.7822,1.0812
1,277,324,46.9183,45.7289,1.1894
1,278,323,46.9733,45.6886,1.2846
1,279,322,47.0421,45.6886,1.3534
1,280,322,47.0972,45.6886,1.4086
1,281,321,47.1524,45.6886,1.4637
1,282,321,47.2075,45.6886,1.5189
1,283,321,47.2627,45.6886,1.5740
1,284,320,47.3041,45.6886,1.6154
1,285,320,47.3318,45.6886,1.6431
1,286,320,47.3595,45.6886,1.6708
1,287,320,47.3733,45.6886,1.6847
1,288,320,47.3872,45.6886,1.6985
1,289,320,47.3872,45.6886,1.6985
1,290,320,47.3595,45.6886,1.6709
1,291,320,47.3181,45.6886,1.6294
1,292,320,47.2766,45.6886,1.5880
1,293,320,47.2215,45.6886,1.5328
1,294,321,47.1663,45.6886,1.4777
1,295,322,47.1112,45.6886,1.4225
1,296,323,47.0424,45.6886,1.3537
1,297,323,46.9736,45.6886,1.2849
1,298,324,46.8912,45.6886,1.2025
1,299,324,46.8088,45.6886,1.1201
1,300,324,46.7267,45.6886,1.0381
1,301,325,46.6584,45.6886,0.9698
1,302,325,46.6039,45.6886,0.9153
1,303,326,46.5359,45.6886,0.8473
1,304,326,46.4816,45.6886,0.7930
1,305,327,46.4139,45.6886,0.7252
1,306,327,46.3461,45.6886,0.6575
1,307,327,46.2920,45.6886,0.6034
1,308,328,46.2246,45.6886,0.5359
1,309,328,46.1707,45.6886,0.4820
1,310,329,46.1168,45.6886,0.4281
1,311,329,46.0631,45.6886,0.3745
1,312,329,46.0094,45.6886,0.3208
1,313,330,45.9424,45.6886,0.2538
1,314,330,45.8890,45.6886,0.2003
1,315,330,45.8355,45.6886,0.1468
1,316,331,45.7822,45.6886,0.0936
1,317,331,45.7289,45.6886,0.0403
1,318,332,45.6756,45.6886,-0.0130
1,319,332,45.6358,45.6886,-0.0529
1,320,332,45.5827,45.6886,-0.1060
1,321,333,45.5296,45.6886,-0.1590
1,322,333,45.4899,45.6886,-0.1988
1,323,333,45.4501,45.6886,-0.2385
1,324,333,45.4237,45.6886,-0.2649
1,325,334,45.3973,45.6886,-0.2914
1,326,334,45.3708,45.6886,-0.3178
1,327,334,45.3576,45.6886,-0.3310
1,328,334,45.3444,45.6886,-0.3442
1,329,334,45.3312,45.6886,-0.3574
1,330,334,45.3180,45.6886,-0.3706
1,331,334,45.3049,45.6886,-0.3838
1,332,334,45.2917,45.6886,-0.3969
1,333,334,45.2786,45.6886,-0.4101
1,334,334,45.2654,45.6886,-0.4232
1,335,334,45.2523,45.6886,-0.4363
1,336,335,45.2392,45.6886,-0.4495
1,337,335,45.2260,45.6886,-0.4626
1,338,335,45.2129,45.6886,-0.4758
1,339,335,45.1997,45.6886,-0.4889
1,340,335,45.1997,45.6886,-0.4889
1,341,335,45.1997,45.6886,-0.4889
1,342,335,45.2129,45.6886,-0.4758
1,343,335,45.2260,45.6886,-0.4626
1,344,335,45.2523,45.6886,-0.4363
1,345,334,45.2919,45.6886,-0.3967
1,346,334,45.3315,45.6886,-0.3571
1,347,334,45.3711,45.6886,-0.3175
1,348,334,45.4107,45.6886,-0.2779
1,349,333,45.4503,45.6886,-0.2384
1,350,332,45.4899,45.6886,-0.1988
1,351,332,45.5163,45.6886,-0.1723
1,352,332,45.5428,45.6886,-0.1459
1,353,332,45.5825,45.6886,-0.1062
1,354,332,45.6222,45.6886,-0.0664
1,355,332,45.6488,45.6886,-0.0399
1,356,332,45.6621,45.6886,-0.0266
1,357,332,45.6754,45.6886,-0.0133
1,358,331,45.6886,45.6886,0.0000
1,359,331,45.7019,45.6886,0.0133
1,360,331,45.7152,45.6886,0.0266
1,361,331,45.7152,45.6886,0.0266
1,362,331,45.7152,45.6886,0.0266
1,363,331,45.7285,45.6886,0.0399
1,364,331,45.7285,45.6886,0.0399
1,365,331,45.7419,45.6886,0.0532
1,366,332,45.7552,45.6886,0.0666
1,367,332,45.7686,45.6886,0.0799
1,368,331,45.7819,45.6886,0.0933
1,369,331,45.7953,45.6886,0.1066
1,370,330,45.7953,45.6886,0.1066
1,371,330,45.7953,45.6886,0.1066
1,372,330,45.8085,45.6886,0.1199
1,373,330,45.8218,45.6886,0.1332
1,374,330,45.8218,45.6886,0.1332
1,375,331,45.8085,45.6886,0.1199
1,376,331,45.7819,45.6886,0.0933
1,377,331,45.7553,45.6886,0.0666
1,378,331,45.7286,45.6886,0.0400
1,379,331,45.7020,45.6886,0.0133
1,380,332,45.6886,45.6886,0.0000
1,381,332,45.6886,45.6886,0.0000
1,382,332,45.6886,45.6886,0.0000
1,383,332,45.6886,45.6886,0.0000
1,384,332,45.6886,45.6886,0.0000
1,385,331,45.6886,45.6886,0.0000
1,386,331,45.7019,45.6886,0.0133
1,387,331,45.7152,45.6886,0.0266
1,388,331,45.7285,45.6886,0.0399
1,389,331,45.7418,45.6886,0.0532
1,390,331,45.7551,45.6886,0.0665
1,391,331,45.7551,45.6886,0.0665
1,392,331,45.7551,45.6886,0.0665
1,393,331,45.7551,45.6886,0.0665
1,394,331,45.7685,45.6886,0.0798
1,395,331,45.7818,45.6886,0.0932
1,396,331,45.7952,45.6886,0.1065
1,397,331,45.8085,45.6886,0.1198
1,398,331,45.8218,45.6886,0.1332
1,399,330,45.8352,45.6886,0.1465
1,400,330,45.8485,45.6886,0.1599
1,401,330,45.8619,45.6886,0.1732
1,402,330,45.8752,45.6886,0.1866
1,403,330,45.8886,45.6886,0.1999
1,404,330,45.9019,45.6886,0.2133
1,405,330,45.9019,45.7019,0.2000
1,406,330,45.9153,45.7019,0.2134
1,407,330,45.9287,45.7020,0.2267
1,408,330,45.9421,45.7152,0.2269
1,409,330,45.9555,45.7152,0.2403
1,410,330,45.9689,45.7152,0.2536
1,411,329,45.9957,45.7152,0.2805
1,412,329,46.0226,45.7285,0.2940
1,413,329,46.0494,45.7285,0.3209
1,414,329,46.0897,45.7285,0.3612
1,415,329,46.1301,45.7286,0.4014
1,416,328,46.1704,45.7418,0.4286
1,417,328,46.2109,45.7419,0.4690
1,418,328,46.2514,45.7551,0.4963
1,419,327,46.3055,45.7551,0.5504
1,420,327,46.3596,45.7551,0.6045
1,421,327,46.4137,45.7551,0.6586
1,422,326,46.4543,45.7552,0.6991
1,423,326,46.4950,45.7553,0.7397
1,424,325,46.5493,45.7685,0.7808
1,425,325,46.6038,45.7686,0.8352
1,426,325,46.6583,45.7818,0.8765
1,427,325,46.7265,45.7819,0.9446
1,428,325,46.7813,45.7819,0.9994
1,429,324,46.8360,45.7952,1.0408
1,430,323,46.8909,45.7953,1.0957
1,431,323,46.9459,45.7953,1.1506
1,432,322,47.0008,45.7953,1.2055
1,433,322,47.0557,45.8085,1.2472
1,434,322,47.1106,45.8085,1.3021
1,435,321,47.1519,45.8085,1.3434
1,436,321,47.1934,45.8218,1.3715
1,437,321,47.2487,45.8218,1.4269
1,438,321,47.2903,45.8218,1.4685
1,439,321,47.3319,45.8352,1.4968
1,440,321,47.3735,45.8485,1.5250
1,441,320,47.4153,45.8619,1.5534
1,442,319,47.4571,45.8752,1.5819
1,443,319,47.4988,45.8886,1.6103
1,444,319,47.5406,45.9019,1.6387
1,445,319,47.5964,45.9019,1.6945
1,446,318,47.6522,45.9153,1.7369
1,447,318,47.7082,45.9287,1.7795
1,448,318,47.7645,45.9421,1.8224
1,449,318,47.8349,45.9555,1.8795
1,450,317,47.9054,45.9689,1.9365
1,451,317,47.9758,45.9957,1.9801
1,452,316,48.0181,46.0226,1.9956
1,453,315,48.0604,46.0494,2.0110
1,454,314,48.1027,46.0897,2.0129
1,455,314,48.1449,46.1301,2.0148
1,456,314,48.1732,46.1704,2.0027
1,457,315,48.2014,46.2109,1.9905
1,458,315,48.2155,46.2514,1.9641
1,459,315,48.2014,46.3055,1.8959
1,460,315,48.1730,46.3596,1.8135
1,461,315,48.1447,46.4137,1.7310
1,462,315,48.1163,46.4543,1.6620
1,463,315,48.1022,46.4950,1.6072
1,464,316,48.0881,46.5493,1.5388
1,465,316,48.0739,46.6038,1.4701
1,466,316,48.0598,46.6583,1.4015
1,467,316,48.0456,46.7265,1.3191
1,468,316,48.0174,46.7813,1.2361
1,469,316,47.9891,46.8360,1.1532
1,470,316,47.9750,46.8909,1.0841
1,471,316,47.9610,46.9459,1.0151
1,472,316,47.9610,47.0008,0.9602
1,473,317,47.9610,47.0557,0.9052
1,474,317,47.9610,47.1106,0.8503
1,475,317,47.9610,47.1519,0.8090
1,476,317,47.9610,47.1934,0.7676
1,477,316,47.9610,47.2487,0.7122
1,478,316,47.9610,47.2903,0.6706
1,479,316,47.9750,47.3319,0.6431
1,480,316,47.9891,47.3735,0.6156
1,481,316,48.0032,47.4153,0.5879
1,482,316,48.0315,47.4571,0.5744
1,483,316,48.0456,47.4988,0.5468
1,484,316,48.0598,47.5406,0.5191
1,485,316,48.0739,47.5964,0.4775
1,486,316,48.0881,47.6522,0.4358
1,487,315,48.1022,47.7082,0.3940
1,488,315,48.1305,47.7645,0.3661
1,489,315,48.1589,47.8173,0.3416
1,490,315,48.1872,47.8702,0.3171
1,491,315,48.2156,47.9193,0.2963
1,492,315,48.2439,47.9610,0.2830
1,493,314,48.2724,47.9610,0.3115
1,494,314,48.3009,47.9610,0.3399
1,495,314,48.3293,47.9610,0.3684
1,496,314,48.3721,47.9610,0.4112
1,497,314,48.4149,47.9610,0.4540
1,498,313,48.4577,47.9610,0.4967
1,499,313,48.4863,47.9610,0.5253
1,500,313,48.5149,47.9610,0.5539
1,501,312,48.5578,47.9610,0.5969
1,502,312,48.6008,47.9680,0.6328
1,503,312,48.6437,47.9750,0.6687
1,504,312,48.6724,47.9750,0.6974
1,505,312,48.7011,47.9756,0.7255
1,506,311,48.7443,47.9825,0.7618
1,507,311,48.7731,47.9891,0.7839
1,508,311,48.8019,47.9891,0.8128
